filename,width,height
& sign.svg,203.2mm,197.9644mm
1 foot Vancouver Island Bolt Holes.svg,5.5172796in,11.999927in
,,
,,
1065 cordero cresent.svg,815.19006mm,382.63708mm
1073.svg,659.05072mm,302.13196mm
1080 Ascension Way.svg,26.309528in,10.595255in
,,
,,
11th avenue.svg,659.05072mm,302.13193mm
1200px-Royal_Canadian_Mounted_Police.svg.png,,
,,
123 fake street address backing plate.svg,668.26208mm,269.11899mm
123 fake street address test.svg,668.26208mm,269.11896mm
,,
13 inch custom island size.svg,152.39198mm,331.11658mm
1328 Victoria Rd.svg,659.05072mm,302.13196mm
,,
1466.svg,32.094097in,15.064453in
147 maple ave.svg,815.19019mm,382.63712mm
1571.svg,711.20013mm,341.75882mm
,,
,,
1715.svg,418.45419mm,887.52832mm
1718 Sitka Address.svg,14.054547in,36.020237in
18 inch Vancouver Island.svg,310.70551mm,457.20001mm
181 midday RD.svg,679.4516mm,422.50079mm
1815.svg,355.60007mm,914.39996mm
19 westview drive.svg,659.05072mm,302.13196mm
,,
1944.svg,355.60007mm,914.39996mm
209 bayview drive.svg,679.44977mm,422.49969mm
2100.svg,16.474575in,34.942059in
214 Close Spacing Sitka Tree Address.svg,14.054548in,36.020214in
220 Cypress street.svg,659.05072mm,302.13196mm
2257 fancy address.svg,257.58432mm,609.59961mm
2284.svg,355.60007mm,914.39996mm
2459 spaced less.svg,355.60004mm,914.39996mm
,,
,,
,,
,,
,,
2790 with arrow.svg,14.109103in,36.064331in
,,
2968.svg,355.60007mm,914.39996mm
2979 spaced less.svg,355.60007mm,914.39996mm
3 foot Orca Bolt Holes.svg,914.3999mm,528.07953mm
,,
30'' elk address quote test 1.svg,762mm,520.69855mm
3111.svg,761.99963mm,520.69983mm
32 inch van isle.svg,859.36255mm,245.34669mm
,,
,,
,,
,,
3365 - 5ft.svg,698.70959mm,1478.3727mm
3517 fancy address.svg,10.141115in,23.999985in
3541 Decorative Address Sign.svg,10.141115in,23.999985in
36 inch Whale with Baby.svg,36in,17.483103in
,,
,,
3636 bishop cresent.svg,659.05072mm,302.13196mm
,,
,,
,,
,,
,,
3923.svg,355.60007mm,914.39996mm
,,
,,
,,
3D Moose Antlers.svg,29.99999in,10.187275in
3D Moose Head unjoined.svg,596.90002mm,446.65042mm
3D Moose Head.svg,32.194771in,12.000005in
4 ' Stainless Redwoord Tree.svg,467.28754mm,1219.2003mm
4 foot Alberta.svg,10.452436in,20.014854in
4 foot British Columbia Bolt Holes.svg,1219.2006mm,977.00586mm
4 foot haida gwaii bolt holes.svg,20.409122in,48.000061in
4 foot North Coast.svg,33.611443in,48.000061in
4 foot vancouver island with mainland.svg,634.99573mm,1219.2mm
4' stainless redwood tree.svg,467.28754mm,1219.2003mm
,,
,,
,,
,,
,,
,,
,,
,,
,,
4459 Michael Frost - 3' Sitka Tree.svg,14.054548in,36.020252in
,,
4571 9th avenue.svg,668.26208mm,269.11948mm
,,
,,
,,
,,
48 inch Whale with Baby.svg,47.999981in,23.310793in
,,
,,
5 foot Vancouver Island Bolt Holes.svg,26.104403in,56.310501in
